"Occupation","Gender","TaxBracket","variable","value","unit"
"8313 Meat, Poultry and Seafood Process Workers","Male","e. $180,000 or more","Net rent - loss",0,"dollar"
"8321 Packers","Female","All","Net rent - loss",-5710421,"dollar"
"8321 Packers","Male","a. $18,200 or less","Net rent - loss",-355535,"dollar"
"8321 Packers","Male","b. $18,201 to $37,000","Net rent - loss",-693009,"dollar"
"8321 Packers","Male","c. $37,001 to $80,000","Net rent - loss",-1315000,"dollar"
"8321 Packers","Male","d. $80,001 to $180,000","Net rent - loss",-184051,"dollar"
"8321 Packers","Male","e. $180,000 or more","Net rent - loss",0,"dollar"
"8322 Product Assemblers","Female","a. $18,200 or less","Net rent - loss",-351530,"dollar"
"8322 Product Assemblers","Female","b. $18,201 to $37,000","Net rent - loss",-1310456,"dollar"
"8322 Product Assemblers","Female","c. $37,001 to $80,000","Net rent - loss",-2020190,"dollar"
"8322 Product Assemblers","Female","d. $80,001 to $180,000","Net rent - loss",-256167,"dollar"
"8322 Product Assemblers","Female","e. $180,000 or more","Net rent - loss",-27498,"dollar"
"8322 Product Assemblers","Male","a. $18,200 or less","Net rent - loss",-208959,"dollar"
"8322 Product Assemblers","Male","b. $18,201 to $37,000","Net rent - loss",-1340680,"dollar"
"8322 Product Assemblers","Male","c. $37,001 to $80,000","Net rent - loss",-5038115,"dollar"
"8322 Product Assemblers","Male","d. $80,001 to $180,000","Net rent - loss",-1102639,"dollar"
"8322 Product Assemblers","Male","e. $180,000 or more","Net rent - loss",-67769,"dollar"
"8391 Metal Engineering Process Workers","Female","a. $18,200 or less","Net rent - loss",0,"dollar"
"8391 Metal Engineering Process Workers","Female","b. $18,201 to $37,000","Net rent - loss",-83315,"dollar"
"8391 Metal Engineering Process Workers","Female","c. $37,001 to $80,000","Net rent - loss",-78398,"dollar"
"8391 Metal Engineering Process Workers","Female","d. $80,001 to $180,000","Net rent - loss",-29584,"dollar"
"8391 Metal Engineering Process Workers","Male","a. $18,200 or less","Net rent - loss",-189168,"dollar"
"8391 Metal Engineering Process Workers","Male","b. $18,201 to $37,000","Net rent - loss",-579170,"dollar"
"8391 Metal Engineering Process Workers","Male","c. $37,001 to $80,000","Net rent - loss",-2328893,"dollar"
"8391 Metal Engineering Process Workers","Male","d. $80,001 to $180,000","Net rent - loss",-1766630,"dollar"
"8391 Metal Engineering Process Workers","Male","e. $180,000 or more","Net rent - loss",-66932,"dollar"
"8392 Plastics and Rubber Factory Workers","Female","a. $18,200 or less","Net rent - loss",-25135,"dollar"
"8392 Plastics and Rubber Factory Workers","Female","b. $18,201 to $37,000","Net rent - loss",-142171,"dollar"
"8392 Plastics and Rubber Factory Workers","Female","c. $37,001 to $80,000","Net rent - loss",-106350,"dollar"
"8392 Plastics and Rubber Factory Workers","Female","d. $80,001 to $180,000","Net rent - loss",-11732,"dollar"
"8392 Plastics and Rubber Factory Workers","Male","All","Net rent - loss",-958745,"dollar"
"8393 Product Quality Controllers","Female","All","Net rent - loss",-568224,"dollar"
"8393 Product Quality Controllers","Male","All","Net rent - loss",-825731,"dollar"
"8394 Timber and Wood Process Workers","Female","All","Net rent - loss",-724498,"dollar"
"8394 Timber and Wood Process Workers","Male","a. $18,200 or less","Net rent - loss",-125103,"dollar"
"8394 Timber and Wood Process Workers","Male","b. $18,201 to $37,000","Net rent - loss",-330275,"dollar"
"8394 Timber and Wood Process Workers","Male","c. $37,001 to $80,000","Net rent - loss",-1559080,"dollar"
"8394 Timber and Wood Process Workers","Male","d. $80,001 to $180,000","Net rent - loss",-973343,"dollar"
"8394 Timber and Wood Process Workers","Male","e. $180,000 or more","Net rent - loss",-20701,"dollar"
"8399 Other Factory Process Workers","Female","a. $18,200 or less","Net rent - loss",-657076,"dollar"
"8399 Other Factory Process Workers","Female","b. $18,201 to $37,000","Net rent - loss",-2107792,"dollar"
"8399 Other Factory Process Workers","Female","c. $37,001 to $80,000","Net rent - loss",-2908726,"dollar"
"8399 Other Factory Process Workers","Female","d. $80,001 to $180,000","Net rent - loss",-443548,"dollar"
"8399 Other Factory Process Workers","Female","e. $180,000 or more","Net rent - loss",-71736,"dollar"
"8399 Other Factory Process Workers","Male","a. $18,200 or less","Net rent - loss",-819214,"dollar"
"8399 Other Factory Process Workers","Male","b. $18,201 to $37,000","Net rent - loss",-1958560,"dollar"
"8399 Other Factory Process Workers","Male","c. $37,001 to $80,000","Net rent - loss",-7221353,"dollar"
"8399 Other Factory Process Workers","Male","d. $80,001 to $180,000","Net rent - loss",-5731363,"dollar"
"8399 Other Factory Process Workers","Male","e. $180,000 or more","Net rent - loss",-903006,"dollar"
"8410 Farm, Forestry and Garden Workers - type not specified","Female","a. $18,200 or less","Net rent - loss",-20226,"dollar"
"8410 Farm, Forestry and Garden Workers - type not specified","Female","b. $18,201 to $37,000","Net rent - loss",0,"dollar"
"8410 Farm, Forestry and Garden Workers - type not specified","Female","c. $37,001 to $80,000","Net rent - loss",0,"dollar"
"8410 Farm, Forestry and Garden Workers - type not specified","Male","All","Net rent - loss",-51172,"dollar"
"8411 Aquaculture Workers","Female","All","Net rent - loss",-37725,"dollar"
"8411 Aquaculture Workers","Male","All","Net rent - loss",-198992,"dollar"
"8412 Crop Farm Workers","Female","a. $18,200 or less","Net rent - loss",-340794,"dollar"
"8412 Crop Farm Workers","Female","b. $18,201 to $37,000","Net rent - loss",-460101,"dollar"
"8412 Crop Farm Workers","Female","c. $37,001 to $80,000","Net rent - loss",-413173,"dollar"
"8412 Crop Farm Workers","Female","d. $80,001 to $180,000","Net rent - loss",-62894,"dollar"
"8412 Crop Farm Workers","Female","e. $180,000 or more","Net rent - loss",-11122,"dollar"
"8412 Crop Farm Workers","Male","a. $18,200 or less","Net rent - loss",-214158,"dollar"
"8412 Crop Farm Workers","Male","b. $18,201 to $37,000","Net rent - loss",-648324,"dollar"
"8412 Crop Farm Workers","Male","c. $37,001 to $80,000","Net rent - loss",-1048328,"dollar"
"8412 Crop Farm Workers","Male","d. $80,001 to $180,000","Net rent - loss",-280088,"dollar"
"8412 Crop Farm Workers","Male","e. $180,000 or more","Net rent - loss",-59895,"dollar"
"8413 Forestry and Logging Workers","Female","All","Net rent - loss",-47027,"dollar"
"8413 Forestry and Logging Workers","Male","a. $18,200 or less","Net rent - loss",-23884,"dollar"
"8413 Forestry and Logging Workers","Male","b. $18,201 to $37,000","Net rent - loss",-119871,"dollar"
"8413 Forestry and Logging Workers","Male","c. $37,001 to $80,000","Net rent - loss",-710410,"dollar"
"8413 Forestry and Logging Workers","Male","d. $80,001 to $180,000","Net rent - loss",-261516,"dollar"
"8413 Forestry and Logging Workers","Male","e. $180,000 or more","Net rent - loss",-127066,"dollar"
"8414 Garden and Nursery Labourers","Female","All","Net rent - loss",-817294,"dollar"
"8414 Garden and Nursery Labourers","Male","a. $18,200 or less","Net rent - loss",-190229,"dollar"
"8414 Garden and Nursery Labourers","Male","b. $18,201 to $37,000","Net rent - loss",-463820,"dollar"
"8414 Garden and Nursery Labourers","Male","c. $37,001 to $80,000","Net rent - loss",-1069557,"dollar"
"8414 Garden and Nursery Labourers","Male","d. $80,001 to $180,000","Net rent - loss",-131797,"dollar"
"8414 Garden and Nursery Labourers","Male","e. $180,000 or more","Net rent - loss",-15063,"dollar"
"8415 Livestock Farm Workers","Female","a. $18,200 or less","Net rent - loss",-445541,"dollar"
"8415 Livestock Farm Workers","Female","b. $18,201 to $37,000","Net rent - loss",-436863,"dollar"
"8415 Livestock Farm Workers","Female","c. $37,001 to $80,000","Net rent - loss",-468968,"dollar"
"8415 Livestock Farm Workers","Female","d. $80,001 to $180,000","Net rent - loss",-72350,"dollar"
"8415 Livestock Farm Workers","Female","e. $180,000 or more","Net rent - loss",-3836,"dollar"
"8415 Livestock Farm Workers","Male","a. $18,200 or less","Net rent - loss",-449351,"dollar"
"8415 Livestock Farm Workers","Male","b. $18,201 to $37,000","Net rent - loss",-775364,"dollar"
"8415 Livestock Farm Workers","Male","c. $37,001 to $80,000","Net rent - loss",-1528529,"dollar"
"8415 Livestock Farm Workers","Male","d. $80,001 to $180,000","Net rent - loss",-378652,"dollar"
"8415 Livestock Farm Workers","Male","e. $180,000 or more","Net rent - loss",-17747,"dollar"
"8416 Mixed Crop and Livestock Farm Workers","Female","All","Net rent - loss",-116788,"dollar"
"8416 Mixed Crop and Livestock Farm Workers","Male","a. $18,200 or less","Net rent - loss",-92001,"dollar"
"8416 Mixed Crop and Livestock Farm Workers","Male","b. $18,201 to $37,000","Net rent - loss",-171099,"dollar"
"8416 Mixed Crop and Livestock Farm Workers","Male","c. $37,001 to $80,000","Net rent - loss",-362635,"dollar"
"8416 Mixed Crop and Livestock Farm Workers","Male","d. $80,001 to $180,000","Net rent - loss",-69330,"dollar"
"8416 Mixed Crop and Livestock Farm Workers","Male","e. $180,000 or more","Net rent - loss",-35795,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Female","a. $18,200 or less","Net rent - loss",-244668,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Female","b. $18,201 to $37,000","Net rent - loss",-242623,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Female","c. $37,001 to $80,000","Net rent - loss",-251916,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Female","d. $80,001 to $180,000","Net rent - loss",-52469,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Female","e. $180,000 or more","Net rent - loss",-21065,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Male","a. $18,200 or less","Net rent - loss",-448834,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Male","b. $18,201 to $37,000","Net rent - loss",-859315,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Male","c. $37,001 to $80,000","Net rent - loss",-2316570,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Male","d. $80,001 to $180,000","Net rent - loss",-751113,"dollar"
"8419 Other Farm, Forestry and Garden Workers","Male","e. $180,000 or more","Net rent - loss",-77598,"dollar"
"8511 Fast Food Cooks","Female","All","Net rent - loss",-674227,"dollar"
"8511 Fast Food Cooks","Male","All","Net rent - loss",-786571,"dollar"
"8512 Food Trades Assistants","Female","All","Net rent - loss",-1132712,"dollar"
"8512 Food Trades Assistants","Male","All","Net rent - loss",-366719,"dollar"
"8513 Kitchenhands","Female","a. $18,200 or less","Net rent - loss",-1688418,"dollar"
"8513 Kitchenhands","Female","b. $18,201 to $37,000","Net rent - loss",-2880257,"dollar"
"8513 Kitchenhands","Female","c. $37,001 to $80,000","Net rent - loss",-1868052,"dollar"
"8513 Kitchenhands","Female","d. $80,001 to $180,000","Net rent - loss",-208305,"dollar"
"8513 Kitchenhands","Female","e. $180,000 or more","Net rent - loss",-56551,"dollar"
"8513 Kitchenhands","Male","a. $18,200 or less","Net rent - loss",-672585,"dollar"
"8513 Kitchenhands","Male","b. $18,201 to $37,000","Net rent - loss",-880418,"dollar"
"8513 Kitchenhands","Male","c. $37,001 to $80,000","Net rent - loss",-832510,"dollar"
"8513 Kitchenhands","Male","d. $80,001 to $180,000","Net rent - loss",-258329,"dollar"
"8513 Kitchenhands","Male","e. $180,000 or more","Net rent - loss",-62726,"dollar"
"8910 Freight Handlers and Shelf Fillers - type not specified","Female","All","Net rent - loss",0,"dollar"
"8910 Freight Handlers and Shelf Fillers - type not specified","Male","All","Net rent - loss",-3609,"dollar"
"8911 Freight and Furniture Handlers","Female","All","Net rent - loss",-351792,"dollar"
"8911 Freight and Furniture Handlers","Male","a. $18,200 or less","Net rent - loss",-406513,"dollar"
"8911 Freight and Furniture Handlers","Male","b. $18,201 to $37,000","Net rent - loss",-326443,"dollar"
"8911 Freight and Furniture Handlers","Male","c. $37,001 to $80,000","Net rent - loss",-3012118,"dollar"
"8911 Freight and Furniture Handlers","Male","d. $80,001 to $180,000","Net rent - loss",-5512975,"dollar"
"8911 Freight and Furniture Handlers","Male","e. $180,000 or more","Net rent - loss",-442957,"dollar"
"8912 Shelf Fillers","Female","a. $18,200 or less","Net rent - loss",-525196,"dollar"
"8912 Shelf Fillers","Female","b. $18,201 to $37,000","Net rent - loss",-485664,"dollar"
"8912 Shelf Fillers","Female","c. $37,001 to $80,000","Net rent - loss",-230695,"dollar"
"8912 Shelf Fillers","Female","d. $80,001 to $180,000","Net rent - loss",-15770,"dollar"
"8912 Shelf Fillers","Male","All","Net rent - loss",-1094566,"dollar"
"8991 Caretakers","Female","All","Net rent - loss",-539581,"dollar"
"8991 Caretakers","Male","All","Net rent - loss",-1201293,"dollar"
"8992 Deck and Fishing Hands","Female","All","Net rent - loss",-783272,"dollar"
"8992 Deck and Fishing Hands","Male","a. $18,200 or less","Net rent - loss",-378620,"dollar"
"8992 Deck and Fishing Hands","Male","b. $18,201 to $37,000","Net rent - loss",-620121,"dollar"
"8992 Deck and Fishing Hands","Male","c. $37,001 to $80,000","Net rent - loss",-2367377,"dollar"
"8992 Deck and Fishing Hands","Male","d. $80,001 to $180,000","Net rent - loss",-5641455,"dollar"
"8992 Deck and Fishing Hands","Male","e. $180,000 or more","Net rent - loss",-1062765,"dollar"
"8993 Handypersons","Female","All","Net rent - loss",-100694,"dollar"
"8993 Handypersons","Male","a. $18,200 or less","Net rent - loss",-665366,"dollar"
"8993 Handypersons","Male","b. $18,201 to $37,000","Net rent - loss",-1203575,"dollar"
"8993 Handypersons","Male","c. $37,001 to $80,000","Net rent - loss",-1931603,"dollar"
"8993 Handypersons","Male","d. $80,001 to $180,000","Net rent - loss",-457662,"dollar"
"8993 Handypersons","Male","e. $180,000 or more","Net rent - loss",-16078,"dollar"
"8994 Motor Vehicle Parts and Accessories Fitters","Female","All","Net rent - loss",-32433,"dollar"
"8994 Motor Vehicle Parts and Accessories Fitters","Male","a. $18,200 or less","Net rent - loss",-158678,"dollar"
"8994 Motor Vehicle Parts and Accessories Fitters","Male","b. $18,201 to $37,000","Net rent - loss",-432130,"dollar"
"8994 Motor Vehicle Parts and Accessories Fitters","Male","c. $37,001 to $80,000","Net rent - loss",-1144216,"dollar"
"8994 Motor Vehicle Parts and Accessories Fitters","Male","d. $80,001 to $180,000","Net rent - loss",-914612,"dollar"
"8994 Motor Vehicle Parts and Accessories Fitters","Male","e. $180,000 or more","Net rent - loss",-115449,"dollar"
"8995 Printing Assistants and Table Workers","Female","All","Net rent - loss",-301024,"dollar"
"8995 Printing Assistants and Table Workers","Male","All","Net rent - loss",-1194959,"dollar"
"8996 Recycling and Rubbish Collectors","Female","All","Net rent - loss",-26791,"dollar"
"8996 Recycling and Rubbish Collectors","Male","All","Net rent - loss",-1146534,"dollar"
"8997 Vending Machine Attendants","Female","All","Net rent - loss",-46156,"dollar"
"8997 Vending Machine Attendants","Male","All","Net rent - loss",-50930,"dollar"
"8999 Other Miscellaneous Labourers","Female","a. $18,200 or less","Net rent - loss",-1239994,"dollar"
"8999 Other Miscellaneous Labourers","Female","b. $18,201 to $37,000","Net rent - loss",-1045470,"dollar"
"8999 Other Miscellaneous Labourers","Female","c. $37,001 to $80,000","Net rent - loss",-1598324,"dollar"
"8999 Other Miscellaneous Labourers","Female","d. $80,001 to $180,000","Net rent - loss",-1015015,"dollar"
"8999 Other Miscellaneous Labourers","Female","e. $180,000 or more","Net rent - loss",-80007,"dollar"
"8999 Other Miscellaneous Labourers","Male","a. $18,200 or less","Net rent - loss",-2845591,"dollar"
"8999 Other Miscellaneous Labourers","Male","b. $18,201 to $37,000","Net rent - loss",-6713644,"dollar"
"8999 Other Miscellaneous Labourers","Male","c. $37,001 to $80,000","Net rent - loss",-13622275,"dollar"
"8999 Other Miscellaneous Labourers","Male","d. $80,001 to $180,000","Net rent - loss",-9829180,"dollar"
"8999 Other Miscellaneous Labourers","Male","e. $180,000 or more","Net rent - loss",-1434702,"dollar"
"9133 Consultant - construction manager","Female","All","Net rent - loss",-268888,"dollar"
"9133 Consultant - construction manager","Male","a. $18,200 or less","Net rent - loss",-253950,"dollar"
"9133 Consultant - construction manager","Male","b. $18,201 to $37,000","Net rent - loss",-159235,"dollar"
"9133 Consultant - construction manager","Male","c. $37,001 to $80,000","Net rent - loss",-242463,"dollar"
"9133 Consultant - construction manager","Male","d. $80,001 to $180,000","Net rent - loss",-901623,"dollar"
"9133 Consultant - construction manager","Male","e. $180,000 or more","Net rent - loss",-455505,"dollar"
"9221 Consultant - tax accountant","Female","a. $18,200 or less","Net rent - loss",-136860,"dollar"
"9221 Consultant - tax accountant","Female","b. $18,201 to $37,000","Net rent - loss",-195169,"dollar"
"9221 Consultant - tax accountant","Female","c. $37,001 to $80,000","Net rent - loss",-442395,"dollar"
"9221 Consultant - tax accountant","Female","d. $80,001 to $180,000","Net rent - loss",-260456,"dollar"
"9221 Consultant - tax accountant","Female","e. $180,000 or more","Net rent - loss",-54981,"dollar"
"9221 Consultant - tax accountant","Male","a. $18,200 or less","Net rent - loss",-227874,"dollar"
"9221 Consultant - tax accountant","Male","b. $18,201 to $37,000","Net rent - loss",-203827,"dollar"
"9221 Consultant - tax accountant","Male","c. $37,001 to $80,000","Net rent - loss",-841399,"dollar"
"9221 Consultant - tax accountant","Male","d. $80,001 to $180,000","Net rent - loss",-387387,"dollar"
"9221 Consultant - tax accountant","Male","e. $180,000 or more","Net rent - loss",-202044,"dollar"
"9222 Consultant - financial investment","Female","a. $18,200 or less","Net rent - loss",-91099,"dollar"
"9222 Consultant - financial investment","Female","b. $18,201 to $37,000","Net rent - loss",-131800,"dollar"
"9222 Consultant - financial investment","Female","c. $37,001 to $80,000","Net rent - loss",-744273,"dollar"
"9222 Consultant - financial investment","Female","d. $80,001 to $180,000","Net rent - loss",-680140,"dollar"
"9222 Consultant - financial investment","Female","e. $180,000 or more","Net rent - loss",-205887,"dollar"
"9222 Consultant - financial investment","Male","a. $18,200 or less","Net rent - loss",-202989,"dollar"
"9222 Consultant - financial investment","Male","b. $18,201 to $37,000","Net rent - loss",-377313,"dollar"
"9222 Consultant - financial investment","Male","c. $37,001 to $80,000","Net rent - loss",-767495,"dollar"
"9222 Consultant - financial investment","Male","d. $80,001 to $180,000","Net rent - loss",-1142758,"dollar"
"9222 Consultant - financial investment","Male","e. $180,000 or more","Net rent - loss",-1703215,"dollar"
"9223 Consultant - human resources","Female","a. $18,200 or less","Net rent - loss",-462492,"dollar"
"9223 Consultant - human resources","Female","b. $18,201 to $37,000","Net rent - loss",-740768,"dollar"
"9223 Consultant - human resources","Female","c. $37,001 to $80,000","Net rent - loss",-2262654,"dollar"
"9223 Consultant - human resources","Female","d. $80,001 to $180,000","Net rent - loss",-2172591,"dollar"
"9223 Consultant - human resources","Female","e. $180,000 or more","Net rent - loss",-544587,"dollar"
"9223 Consultant - human resources","Male","a. $18,200 or less","Net rent - loss",-158611,"dollar"
"9223 Consultant - human resources","Male","b. $18,201 to $37,000","Net rent - loss",-221709,"dollar"
"9223 Consultant - human resources","Male","c. $37,001 to $80,000","Net rent - loss",-1082987,"dollar"
"9223 Consultant - human resources","Male","d. $80,001 to $180,000","Net rent - loss",-1535056,"dollar"
"9223 Consultant - human resources","Male","e. $180,000 or more","Net rent - loss",-535231,"dollar"
"9224 Consultant - management","Female","a. $18,200 or less","Net rent - loss",-922144,"dollar"
"9224 Consultant - management","Female","b. $18,201 to $37,000","Net rent - loss",-965983,"dollar"
"9224 Consultant - management","Female","c. $37,001 to $80,000","Net rent - loss",-3381600,"dollar"
"9224 Consultant - management","Female","d. $80,001 to $180,000","Net rent - loss",-5373898,"dollar"
"9224 Consultant - management","Female","e. $180,000 or more","Net rent - loss",-2013678,"dollar"
"9224 Consultant - management","Male","a. $18,200 or less","Net rent - loss",-1405597,"dollar"
"9224 Consultant - management","Male","b. $18,201 to $37,000","Net rent - loss",-1076213,"dollar"
"9224 Consultant - management","Male","c. $37,001 to $80,000","Net rent - loss",-4274392,"dollar"
"9224 Consultant - management","Male","d. $80,001 to $180,000","Net rent - loss",-11131983,"dollar"
"9224 Consultant - management","Male","e. $180,000 or more","Net rent - loss",-8899307,"dollar"
"9225 Consultant - marketing and public relations","Female","a. $18,200 or less","Net rent - loss",-579000,"dollar"
"9225 Consultant - marketing and public relations","Female","b. $18,201 to $37,000","Net rent - loss",-500946,"dollar"
"9225 Consultant - marketing and public relations","Female","c. $37,001 to $80,000","Net rent - loss",-1168131,"dollar"
"9225 Consultant - marketing and public relations","Female","d. $80,001 to $180,000","Net rent - loss",-1166117,"dollar"
"9225 Consultant - marketing and public relations","Female","e. $180,000 or more","Net rent - loss",-354280,"dollar"
"9225 Consultant - marketing and public relations","Male","a. $18,200 or less","Net rent - loss",-117537,"dollar"
"9225 Consultant - marketing and public relations","Male","b. $18,201 to $37,000","Net rent - loss",-215978,"dollar"
"9225 Consultant - marketing and public relations","Male","c. $37,001 to $80,000","Net rent - loss",-468803,"dollar"
"9225 Consultant - marketing and public relations","Male","d. $80,001 to $180,000","Net rent - loss",-1241815,"dollar"
"9225 Consultant - marketing and public relations","Male","e. $180,000 or more","Net rent - loss",-511824,"dollar"
"9232 Consultant - urban and regional planner","Female","All","Net rent - loss",-148196,"dollar"
"9232 Consultant - urban and regional planner","Male","a. $18,200 or less","Net rent - loss",0,"dollar"
"9232 Consultant - urban and regional planner","Male","b. $18,201 to $37,000","Net rent - loss",0,"dollar"
"9232 Consultant - urban and regional planner","Male","c. $37,001 to $80,000","Net rent - loss",-61029,"dollar"
"9232 Consultant - urban and regional planner","Male","d. $80,001 to $180,000","Net rent - loss",-185574,"dollar"
"9232 Consultant - urban and regional planner","Male","e. $180,000 or more","Net rent - loss",-101374,"dollar"
"9233 Consultant - engineering","Female","a. $18,200 or less","Net rent - loss",-99536,"dollar"
"9233 Consultant - engineering","Female","b. $18,201 to $37,000","Net rent - loss",-92922,"dollar"
"9233 Consultant - engineering","Female","c. $37,001 to $80,000","Net rent - loss",-246997,"dollar"
"9233 Consultant - engineering","Female","d. $80,001 to $180,000","Net rent - loss",-595986,"dollar"
"9233 Consultant - engineering","Female","e. $180,000 or more","Net rent - loss",-90988,"dollar"
"9233 Consultant - engineering","Male","a. $18,200 or less","Net rent - loss",-867011,"dollar"
"9233 Consultant - engineering","Male","b. $18,201 to $37,000","Net rent - loss",-781570,"dollar"
"9233 Consultant - engineering","Male","c. $37,001 to $80,000","Net rent - loss",-1925645,"dollar"
"9233 Consultant - engineering","Male","d. $80,001 to $180,000","Net rent - loss",-5238005,"dollar"
"9233 Consultant - engineering","Male","e. $180,000 or more","Net rent - loss",-2287643,"dollar"
"9234 Consultant - environmental","Female","a. $18,200 or less","Net rent - loss",-120217,"dollar"
"9234 Consultant - environmental","Female","b. $18,201 to $37,000","Net rent - loss",-28682,"dollar"
"9234 Consultant - environmental","Female","c. $37,001 to $80,000","Net rent - loss",-227880,"dollar"
"9234 Consultant - environmental","Female","d. $80,001 to $180,000","Net rent - loss",-217824,"dollar"
"9234 Consultant - environmental","Female","e. $180,000 or more","Net rent - loss",-24793,"dollar"
"9234 Consultant - environmental","Male","a. $18,200 or less","Net rent - loss",-119666,"dollar"
"9234 Consultant - environmental","Male","b. $18,201 to $37,000","Net rent - loss",-37205,"dollar"
"9234 Consultant - environmental","Male","c. $37,001 to $80,000","Net rent - loss",-314798,"dollar"
"9234 Consultant - environmental","Male","d. $80,001 to $180,000","Net rent - loss",-429231,"dollar"
"9234 Consultant - environmental","Male","e. $180,000 or more","Net rent - loss",-120621,"dollar"
"9250 Consultant - medical","Female","a. $18,200 or less","Net rent - loss",-93811,"dollar"
"9250 Consultant - medical","Female","b. $18,201 to $37,000","Net rent - loss",-58699,"dollar"
"9250 Consultant - medical","Female","c. $37,001 to $80,000","Net rent - loss",-237652,"dollar"
"9250 Consultant - medical","Female","d. $80,001 to $180,000","Net rent - loss",-258634,"dollar"
"9250 Consultant - medical","Female","e. $180,000 or more","Net rent - loss",-111548,"dollar"
"9250 Consultant - medical","Male","a. $18,200 or less","Net rent - loss",-6301,"dollar"
"9250 Consultant - medical","Male","b. $18,201 to $37,000","Net rent - loss",-19970,"dollar"
"9250 Consultant - medical","Male","c. $37,001 to $80,000","Net rent - loss",-207371,"dollar"
"9250 Consultant - medical","Male","d. $80,001 to $180,000","Net rent - loss",-125151,"dollar"
"9250 Consultant - medical","Male","e. $180,000 or more","Net rent - loss",-416068,"dollar"
"9251 Consultant - occupational health and safety","Female","a. $18,200 or less","Net rent - loss",-217501,"dollar"
"9251 Consultant - occupational health and safety","Female","b. $18,201 to $37,000","Net rent - loss",-52976,"dollar"
"9251 Consultant - occupational health and safety","Female","c. $37,001 to $80,000","Net rent - loss",-462878,"dollar"
"9251 Consultant - occupational health and safety","Female","d. $80,001 to $180,000","Net rent - loss",-464587,"dollar"
"9251 Consultant - occupational health and safety","Female","e. $180,000 or more","Net rent - loss",-28293,"dollar"
"9251 Consultant - occupational health and safety","Male","a. $18,200 or less","Net rent - loss",-199086,"dollar"
"9251 Consultant - occupational health and safety","Male","b. $18,201 to $37,000","Net rent - loss",-101454,"dollar"
"9251 Consultant - occupational health and safety","Male","c. $37,001 to $80,000","Net rent - loss",-598698,"dollar"
"9251 Consultant - occupational health and safety","Male","d. $80,001 to $180,000","Net rent - loss",-857476,"dollar"
"9251 Consultant - occupational health and safety","Male","e. $180,000 or more","Net rent - loss",-306592,"dollar"
"9254 Consultant - clinical nurse","Female","All","Net rent - loss",-547520,"dollar"
"9254 Consultant - clinical nurse","Male","All","Net rent - loss",-85749,"dollar"
"9261 Consultant - IT business analyst","Female","a. $18,200 or less","Net rent - loss",-587496,"dollar"
"9261 Consultant - IT business analyst","Female","b. $18,201 to $37,000","Net rent - loss",-460730,"dollar"
"9261 Consultant - IT business analyst","Female","c. $37,001 to $80,000","Net rent - loss",-1979028,"dollar"
"9261 Consultant - IT business analyst","Female","d. $80,001 to $180,000","Net rent - loss",-3430702,"dollar"
"9261 Consultant - IT business analyst","Female","e. $180,000 or more","Net rent - loss",-583733,"dollar"
"9261 Consultant - IT business analyst","Male","a. $18,200 or less","Net rent - loss",-890142,"dollar"
"9261 Consultant - IT business analyst","Male","b. $18,201 to $37,000","Net rent - loss",-781287,"dollar"
"9261 Consultant - IT business analyst","Male","c. $37,001 to $80,000","Net rent - loss",-4702005,"dollar"
"9261 Consultant - IT business analyst","Male","d. $80,001 to $180,000","Net rent - loss",-17421030,"dollar"
"9261 Consultant - IT business analyst","Male","e. $180,000 or more","Net rent - loss",-4971388,"dollar"
"9311 Apprentice or trainee - agricultural or medical technician","Female","All","Net rent - loss",-21939,"dollar"
"9311 Apprentice or trainee - agricultural or medical technician","Male","a. $18,200 or less","Net rent - loss",0,"dollar"
"9311 Apprentice or trainee - agricultural or medical technician","Male","b. $18,201 to $37,000","Net rent - loss",-4489,"dollar"
"9311 Apprentice or trainee - agricultural or medical technician","Male","c. $37,001 to $80,000","Net rent - loss",-9810,"dollar"
"9311 Apprentice or trainee - agricultural or medical technician","Male","d. $80,001 to $180,000","Net rent - loss",-23624,"dollar"
"9313 Apprentice or trainee - information technology technician or telecommunications technical specialist","Female","All","Net rent - loss",-93450,"dollar"
"9313 Apprentice or trainee - information technology technician or telecommunications technical specialist","Male","All","Net rent - loss",-127737,"dollar"
"9321 Apprentice or trainee - automotive mechanic or electrician","Female","All","Net rent - loss",-28845,"dollar"
"9321 Apprentice or trainee - automotive mechanic or electrician","Male","All","Net rent - loss",-941112,"dollar"
"9322 Apprentice or trainee - metal fabrication engineering trades worker","Female","All","Net rent - loss",-7836,"dollar"
"9322 Apprentice or trainee - metal fabrication engineering trades worker","Male","All","Net rent - loss",-163341,"dollar"
"9323 Apprentice or trainee - mechanical trades engineering trades worker","Female","All","Net rent - loss",-19405,"dollar"
"9323 Apprentice or trainee - mechanical trades engineering trades worker","Male","All","Net rent - loss",-720976,"dollar"
"9324 Apprentice or trainee - automotive - other","Female","All","Net rent - loss",-1018,"dollar"
